Level:0  |Health:0  |Endurance:0  |Base Attack:0  | xp:0.
Level:361  |Health:132125  |Endurance:9422  |Base Attack:130447  | xp:11046.
Level:362  |Health:132853  |Endurance:9448  |Base Attack:131171  | xp:11077.
Level:363  |Health:133583  |Endurance:9474  |Base Attack:131896  | xp:11107.
Level:364  |Health:134315  |Endurance:9500  |Base Attack:132623  | xp:11138.
Level:365  |Health:135049  |Endurance:9526  |Base Attack:133353  | xp:11169.
Level:366  |Health:135785  |Endurance:9552  |Base Attack:134084  | xp:11199.
Level:367  |Health:136523  |Endurance:9578  |Base Attack:134817  | xp:11230.
Level:368  |Health:137263  |Endurance:9604  |Base Attack:135553  | xp:11260.
Level:369  |Health:138005  |Endurance:9630  |Base Attack:136290  | xp:11291.
Level:370  |Health:138749  |Endurance:9657  |Base Attack:137030  | xp:11322.
Level:371  |Health:139495  |Endurance:9683  |Base Attack:137771  | xp:11352.
Level:372  |Health:140243  |Endurance:9709  |Base Attack:138514  | xp:11383.
Level:373  |Health:140993  |Endurance:9735  |Base Attack:139260  | xp:11413.
Level:374  |Health:141745  |Endurance:9761  |Base Attack:140007  | xp:11444.
Level:375  |Health:142499  |Endurance:9787  |Base Attack:140756  | xp:11475.
Level:376  |Health:143255  |Endurance:9813  |Base Attack:141508  | xp:11505.
Level:377  |Health:144013  |Endurance:9839  |Base Attack:142261  | xp:11536.
Level:378  |Health:144773  |Endurance:9865  |Base Attack:143016  | xp:11566.
Level:379  |Health:145535  |Endurance:9891  |Base Attack:143774  | xp:11597.
Level:380  |Health:146299  |Endurance:9918  |Base Attack:144533  | xp:11628.
Level:381  |Health:147065  |Endurance:9944  |Base Attack:145294  | xp:11658.
Level:382  |Health:147833  |Endurance:9970  |Base Attack:146058  | xp:11689.
Level:383  |Health:148603  |Endurance:9996  |Base Attack:146823  | xp:11719.
Level:384  |Health:149375  |Endurance:10022  |Base Attack:147590  | xp:11750.
Level:385  |Health:150149  |Endurance:10048  |Base Attack:148360  | xp:11781.
Level:386  |Health:150925  |Endurance:10074  |Base Attack:149131  | xp:11811.
Level:387  |Health:151703  |Endurance:10100  |Base Attack:149904  | xp:11842.
Level:388  |Health:152483  |Endurance:10126  |Base Attack:150680  | xp:11872.
Level:389  |Health:153265  |Endurance:10152  |Base Attack:151457  | xp:11903.
Level:390  |Health:154049  |Endurance:10179  |Base Attack:152237  | xp:11934.
Level:391  |Health:154835  |Endurance:10205  |Base Attack:153018  | xp:11964.
Level:392  |Health:155623  |Endurance:10231  |Base Attack:153801  | xp:11995.
Level:393  |Health:156413  |Endurance:10257  |Base Attack:154587  | xp:12025.
Level:394  |Health:157205  |Endurance:10283  |Base Attack:155374  | xp:12056.
Level:395  |Health:157999  |Endurance:10309  |Base Attack:156163  | xp:12087.
Level:396  |Health:158795  |Endurance:10335  |Base Attack:156955  | xp:12117.
Level:397  |Health:159593  |Endurance:10361  |Base Attack:157748  | xp:12148.
Level:398  |Health:160393  |Endurance:10387  |Base Attack:158543  | xp:12178.
Level:399  |Health:161195  |Endurance:10413  |Base Attack:159341  | xp:12209.
Level:400  |Health:161999  |Endurance:10440  |Base Attack:160140  | xp:12240.
Level:401  |Health:162805  |Endurance:10466  |Base Attack:160941  | xp:12270.
Level:402  |Health:163613  |Endurance:10492  |Base Attack:161745  | xp:12301.
Level:403  |Health:164423  |Endurance:10518  |Base Attack:162550  | xp:12331.
Level:404  |Health:165235  |Endurance:10544  |Base Attack:163357  | xp:12362.
Level:405  |Health:166049  |Endurance:10570  |Base Attack:164167  | xp:12393.
Level:406  |Health:166865  |Endurance:10596  |Base Attack:164978  | xp:12423.
Level:407  |Health:167683  |Endurance:10622  |Base Attack:165791  | xp:12454.
Level:408  |Health:168503  |Endurance:10648  |Base Attack:166607  | xp:12484.
Level:409  |Health:169325  |Endurance:10674  |Base Attack:167424  | xp:12515.
Level:410  |Health:170149  |Endurance:10701  |Base Attack:168244  | xp:12546.
Level:411  |Health:170975  |Endurance:10727  |Base Attack:169065  | xp:12576.
Level:412  |Health:171803  |Endurance:10753  |Base Attack:169888  | xp:12607.
Level:413  |Health:172633  |Endurance:10779  |Base Attack:170714  | xp:12637.
Level:414  |Health:173465  |Endurance:10805  |Base Attack:171541  | xp:12668.
Level:415  |Health:174299  |Endurance:10831  |Base Attack:172370  | xp:12699.
Level:416  |Health:175135  |Endurance:10857  |Base Attack:173202  | xp:12729.
Level:417  |Health:175973  |Endurance:10883  |Base Attack:174035  | xp:12760.
Level:418  |Health:176813  |Endurance:10909  |Base Attack:174870  | xp:12790.
Level:419  |Health:177655  |Endurance:10935  |Base Attack:175708  | xp:12821.
Level:420  |Health:178499  |Endurance:10962  |Base Attack:176547  | xp:12852.
Level:421  |Health:179345  |Endurance:10988  |Base Attack:177388  | xp:12882.
Level:422  |Health:180193  |Endurance:11014  |Base Attack:178232  | xp:12913.
Level:423  |Health:181043  |Endurance:11040  |Base Attack:179077  | xp:12943.
Level:424  |Health:181895  |Endurance:11066  |Base Attack:179924  | xp:12974.
Level:425  |Health:182749  |Endurance:11092  |Base Attack:180774  | xp:13005.
Level:426  |Health:183605  |Endurance:11118  |Base Attack:181625  | xp:13035.
Level:427  |Health:184463  |Endurance:11144  |Base Attack:182478  | xp:13066.
Level:428  |Health:185323  |Endurance:11170  |Base Attack:183334  | xp:13096.
Level:429  |Health:186185  |Endurance:11196  |Base Attack:184191  | xp:13127.
Level:430  |Health:187049  |Endurance:11223  |Base Attack:185051  | xp:13158.
Level:431  |Health:187915  |Endurance:11249  |Base Attack:185912  | xp:13188.
Level:432  |Health:188783  |Endurance:11275  |Base Attack:186775  | xp:13219.
Level:433  |Health:189653  |Endurance:11301  |Base Attack:187641  | xp:13249.
Level:434  |Health:190525  |Endurance:11327  |Base Attack:188508  | xp:13280.
Level:435  |Health:191399  |Endurance:11353  |Base Attack:189377  | xp:13311.
Level:436  |Health:192275  |Endurance:11379  |Base Attack:190249  | xp:13341.
Level:437  |Health:193153  |Endurance:11405  |Base Attack:191122  | xp:13372.
Level:438  |Health:194033  |Endurance:11431  |Base Attack:191997  | xp:13402.
Level:439  |Health:194915  |Endurance:11457  |Base Attack:192875  | xp:13433.
Level:440  |Health:195799  |Endurance:11484  |Base Attack:193754  | xp:13464.
Level:441  |Health:196685  |Endurance:11510  |Base Attack:194635  | xp:13494.
Level:442  |Health:197573  |Endurance:11536  |Base Attack:195519  | xp:13525.
Level:443  |Health:198463  |Endurance:11562  |Base Attack:196404  | xp:13555.
Level:444  |Health:199355  |Endurance:11588  |Base Attack:197291  | xp:13586.
Level:445  |Health:200249  |Endurance:11614  |Base Attack:198181  | xp:13617.
Level:446  |Health:201145  |Endurance:11640  |Base Attack:199072  | xp:13647.
Level:447  |Health:202043  |Endurance:11666  |Base Attack:199965  | xp:13678.
Level:448  |Health:202943  |Endurance:11692  |Base Attack:200861  | xp:13708.
Level:449  |Health:203845  |Endurance:11718  |Base Attack:201758  | xp:13739.
Level:450  |Health:204749  |Endurance:11745  |Base Attack:202658  | xp:13770.
Level:451  |Health:205655  |Endurance:11771  |Base Attack:203559  | xp:13800.
Level:452  |Health:206563  |Endurance:11797  |Base Attack:204462  | xp:13831.
Level:453  |Health:207473  |Endurance:11823  |Base Attack:205368  | xp:13861.
Level:454  |Health:208385  |Endurance:11849  |Base Attack:206275  | xp:13892.
Level:455  |Health:209299  |Endurance:11875  |Base Attack:207184  | xp:13923.
Level:456  |Health:210215  |Endurance:11901  |Base Attack:208096  | xp:13953.
Level:457  |Health:211133  |Endurance:11927  |Base Attack:209009  | xp:13984.
Level:458  |Health:212053  |Endurance:11953  |Base Attack:209924  | xp:14014.
Level:459  |Health:212975  |Endurance:11979  |Base Attack:210842  | xp:14045.
Level:460  |Health:213899  |Endurance:12006  |Base Attack:211761  | xp:14076.
Level:461  |Health:214825  |Endurance:12032  |Base Attack:212682  | xp:14106.
Level:462  |Health:215753  |Endurance:12058  |Base Attack:213606  | xp:14137.
Level:463  |Health:216683  |Endurance:12084  |Base Attack:214531  | xp:14167.
Level:464  |Health:217615  |Endurance:12110  |Base Attack:215458  | xp:14198.
Level:465  |Health:218549  |Endurance:12136  |Base Attack:216388  | xp:14229.
Level:466  |Health:219485  |Endurance:12162  |Base Attack:217319  | xp:14259.
Level:467  |Health:220423  |Endurance:12188  |Base Attack:218252  | xp:14290.
Level:468  |Health:221363  |Endurance:12214  |Base Attack:219188  | xp:14320.
Level:469  |Health:222305  |Endurance:12240  |Base Attack:220125  | xp:14351.
Level:470  |Health:223249  |Endurance:12267  |Base Attack:221065  | xp:14382.
Level:471  |Health:224195  |Endurance:12293  |Base Attack:222006  | xp:14412.
Level:472  |Health:225143  |Endurance:12319  |Base Attack:222949  | xp:14443.
Level:473  |Health:226093  |Endurance:12345  |Base Attack:223895  | xp:14473.
Level:474  |Health:227045  |Endurance:12371  |Base Attack:224842  | xp:14504.
Level:475  |Health:227999  |Endurance:12397  |Base Attack:225791  | xp:14535.
Level:476  |Health:228955  |Endurance:12423  |Base Attack:226743  | xp:14565.
Level:477  |Health:229913  |Endurance:12449  |Base Attack:227696  | xp:14596.
Level:478  |Health:230873  |Endurance:12475  |Base Attack:228651  | xp:14626.
Level:479  |Health:231835  |Endurance:12501  |Base Attack:229609  | xp:14657.
Level:480  |Health:232799  |Endurance:12528  |Base Attack:230568  | xp:14688.
Level:481  |Health:233765  |Endurance:12554  |Base Attack:231529  | xp:14718.
Level:482  |Health:234733  |Endurance:12580  |Base Attack:232493  | xp:14749.
Level:483  |Health:235703  |Endurance:12606  |Base Attack:233458  | xp:14779.
Level:484  |Health:236675  |Endurance:12632  |Base Attack:234425  | xp:14810.
Level:485  |Health:237649  |Endurance:12658  |Base Attack:235395  | xp:14841.
Level:486  |Health:238625  |Endurance:12684  |Base Attack:236366  | xp:14871.
Level:487  |Health:239603  |Endurance:12710  |Base Attack:237339  | xp:14902.
Level:488  |Health:240583  |Endurance:12736  |Base Attack:238315  | xp:14932.
Level:489  |Health:241565  |Endurance:12762  |Base Attack:239292  | xp:14963.
Level:490  |Health:242549  |Endurance:12789  |Base Attack:240272  | xp:14994.
Level:491  |Health:243535  |Endurance:12815  |Base Attack:241253  | xp:15024.
Level:492  |Health:244523  |Endurance:12841  |Base Attack:242236  | xp:15055.
Level:493  |Health:245513  |Endurance:12867  |Base Attack:243222  | xp:15085.
Level:494  |Health:246505  |Endurance:12893  |Base Attack:244209  | xp:15116.
Level:495  |Health:247499  |Endurance:12919  |Base Attack:245198  | xp:15147.
Level:496  |Health:248495  |Endurance:12945  |Base Attack:246190  | xp:15177.
Level:497  |Health:249493  |Endurance:12971  |Base Attack:247183  | xp:15208.
Level:498  |Health:250493  |Endurance:12997  |Base Attack:248178  | xp:15238.
Level:499  |Health:251495  |Endurance:13023  |Base Attack:249176  | xp:15269.
Level:500  |Health:252499  |Endurance:13050  |Base Attack:250175  | xp:15300.
Level:501  |Health:253505  |Endurance:13076  |Base Attack:251176  | xp:15330.
Level:502  |Health:254513  |Endurance:13102  |Base Attack:252180  | xp:15361.
Level:503  |Health:255523  |Endurance:13128  |Base Attack:253185  | xp:15391.
Level:504  |Health:256535  |Endurance:13154  |Base Attack:254192  | xp:15422.
Level:505  |Health:257549  |Endurance:13180  |Base Attack:255202  | xp:15453.
Level:506  |Health:258565  |Endurance:13206  |Base Attack:256213  | xp:15483.
Level:507  |Health:259583  |Endurance:13232  |Base Attack:257226  | xp:15514.
Level:508  |Health:260603  |Endurance:13258  |Base Attack:258242  | xp:15544.
Level:509  |Health:261625  |Endurance:13284  |Base Attack:259259  | xp:15575.
Level:510  |Health:262649  |Endurance:13311  |Base Attack:260279  | xp:15606.
Level:511  |Health:263675  |Endurance:13337  |Base Attack:261300  | xp:15636.
Level:512  |Health:264703  |Endurance:13363  |Base Attack:262323  | xp:15667.
Level:513  |Health:265733  |Endurance:13389  |Base Attack:263349  | xp:15697.
Level:514  |Health:266765  |Endurance:13415  |Base Attack:264376  | xp:15728.
Level:515  |Health:267799  |Endurance:13441  |Base Attack:265405  | xp:15759.
Level:516  |Health:268835  |Endurance:13467  |Base Attack:266437  | xp:15789.
Level:517  |Health:269873  |Endurance:13493  |Base Attack:267470  | xp:15820.
Level:518  |Health:270913  |Endurance:13519  |Base Attack:268505  | xp:15850.
Level:519  |Health:271955  |Endurance:13545  |Base Attack:269543  | xp:15881.
Level:520  |Health:272999  |Endurance:13572  |Base Attack:270582  | xp:15912.
Level:521  |Health:274045  |Endurance:13598  |Base Attack:271623  | xp:15942.
Level:522  |Health:275093  |Endurance:13624  |Base Attack:272667  | xp:15973.
Level:523  |Health:276143  |Endurance:13650  |Base Attack:273712  | xp:16003.
Level:524  |Health:277195  |Endurance:13676  |Base Attack:274759  | xp:16034.
Level:525  |Health:278249  |Endurance:13702  |Base Attack:275809  | xp:16065.
Level:526  |Health:279305  |Endurance:13728  |Base Attack:276860  | xp:16095.
Level:527  |Health:280363  |Endurance:13754  |Base Attack:277913  | xp:16126.
Level:528  |Health:281423  |Endurance:13780  |Base Attack:278969  | xp:16156.
Level:529  |Health:282485  |Endurance:13806  |Base Attack:280026  | xp:16187.
Level:530  |Health:283549  |Endurance:13833  |Base Attack:281086  | xp:16218.
Level:531  |Health:284615  |Endurance:13859  |Base Attack:282147  | xp:16248.
Level:532  |Health:285683  |Endurance:13885  |Base Attack:283210  | xp:16279.
Level:533  |Health:286753  |Endurance:13911  |Base Attack:284276  | xp:16309.
Level:534  |Health:287825  |Endurance:13937  |Base Attack:285343  | xp:16340.
Level:535  |Health:288899  |Endurance:13963  |Base Attack:286412  | xp:16371.
Level:536  |Health:289975  |Endurance:13989  |Base Attack:287484  | xp:16401.
Level:537  |Health:291053  |Endurance:14015  |Base Attack:288557  | xp:16432.
Level:538  |Health:292133  |Endurance:14041  |Base Attack:289632  | xp:16462.
Level:539  |Health:293215  |Endurance:14067  |Base Attack:290710  | xp:16493.
Level:540  |Health:294299  |Endurance:14094  |Base Attack:291789  | xp:16524.
Level:541  |Health:295385  |Endurance:14120  |Base Attack:292870  | xp:16554.
Level:542  |Health:296473  |Endurance:14146  |Base Attack:293954  | xp:16585.
Level:543  |Health:297563  |Endurance:14172  |Base Attack:295039  | xp:16615.
Level:544  |Health:298655  |Endurance:14198  |Base Attack:296126  | xp:16646.
Level:545  |Health:299749  |Endurance:14224  |Base Attack:297216  | xp:16677.
Level:546  |Health:300845  |Endurance:14250  |Base Attack:298307  | xp:16707.
Level:547  |Health:301943  |Endurance:14276  |Base Attack:299400  | xp:16738.
Level:548  |Health:303043  |Endurance:14302  |Base Attack:300496  | xp:16768.
Level:549  |Health:304145  |Endurance:14328  |Base Attack:301593  | xp:16799.
Level:550  |Health:305249  |Endurance:14355  |Base Attack:302693  | xp:16830.
Level:551  |Health:306355  |Endurance:14381  |Base Attack:303794  | xp:16860.
Level:552  |Health:307463  |Endurance:14407  |Base Attack:304897  | xp:16891.
Level:553  |Health:308573  |Endurance:14433  |Base Attack:306003  | xp:16921.
Level:554  |Health:309685  |Endurance:14459  |Base Attack:307110  | xp:16952.
Level:555  |Health:310799  |Endurance:14485  |Base Attack:308219  | xp:16983.
Level:556  |Health:311915  |Endurance:14511  |Base Attack:309331  | xp:17013.
Level:557  |Health:313033  |Endurance:14537  |Base Attack:310444  | xp:17044.
Level:558  |Health:314153  |Endurance:14563  |Base Attack:311559  | xp:17074.
Level:559  |Health:315275  |Endurance:14589  |Base Attack:312677  | xp:17105.
Level:560  |Health:316399  |Endurance:14616  |Base Attack:313796  | xp:17136.
Level:561  |Health:317525  |Endurance:14642  |Base Attack:314917  | xp:17166.
Level:562  |Health:318653  |Endurance:14668  |Base Attack:316041  | xp:17197.
Level:563  |Health:319783  |Endurance:14694  |Base Attack:317166  | xp:17227.
Level:564  |Health:320915  |Endurance:14720  |Base Attack:318293  | xp:17258.
Level:565  |Health:322049  |Endurance:14746  |Base Attack:319423  | xp:17289.
Level:566  |Health:323185  |Endurance:14772  |Base Attack:320554  | xp:17319.
Level:567  |Health:324323  |Endurance:14798  |Base Attack:321687  | xp:17350.
Level:568  |Health:325463  |Endurance:14824  |Base Attack:322823  | xp:17380.
Level:569  |Health:326605  |Endurance:14850  |Base Attack:323960  | xp:17411.
Level:570  |Health:327749  |Endurance:14877  |Base Attack:325100  | xp:17442.
Level:571  |Health:328895  |Endurance:14903  |Base Attack:326241  | xp:17472.
Level:572  |Health:330043  |Endurance:14929  |Base Attack:327384  | xp:17503.
Level:573  |Health:331193  |Endurance:14955  |Base Attack:328530  | xp:17533.
Level:574  |Health:332345  |Endurance:14981  |Base Attack:329677  | xp:17564.
Level:575  |Health:333499  |Endurance:15007  |Base Attack:330826  | xp:17595.
Level:576  |Health:334655  |Endurance:15033  |Base Attack:331978  | xp:17625.
Level:577  |Health:335813  |Endurance:15059  |Base Attack:333131  | xp:17656.
Level:578  |Health:336973  |Endurance:15085  |Base Attack:334286  | xp:17686.
Level:579  |Health:338135  |Endurance:15111  |Base Attack:335444  | xp:17717.
Level:580  |Health:339299  |Endurance:15138  |Base Attack:336603  | xp:17748.
Level:581  |Health:340465  |Endurance:15164  |Base Attack:337764  | xp:17778.
Level:582  |Health:341633  |Endurance:15190  |Base Attack:338928  | xp:17809.
Level:583  |Health:342803  |Endurance:15216  |Base Attack:340093  | xp:17839.
Level:584  |Health:343975  |Endurance:15242  |Base Attack:341260  | xp:17870.
Level:585  |Health:345149  |Endurance:15268  |Base Attack:342430  | xp:17901.
Level:586  |Health:346325  |Endurance:15294  |Base Attack:343601  | xp:17931.
Level:587  |Health:347503  |Endurance:15320  |Base Attack:344774  | xp:17962.
Level:588  |Health:348683  |Endurance:15346  |Base Attack:345950  | xp:17992.
Level:589  |Health:349865  |Endurance:15372  |Base Attack:347127  | xp:18023.
Level:590  |Health:351049  |Endurance:15399  |Base Attack:348307  | xp:18054.
Level:591  |Health:352235  |Endurance:15425  |Base Attack:349488  | xp:18084.
Level:592  |Health:353423  |Endurance:15451  |Base Attack:350671  | xp:18115.
Level:593  |Health:354613  |Endurance:15477  |Base Attack:351857  | xp:18145.
Level:594  |Health:355805  |Endurance:15503  |Base Attack:353044  | xp:18176.
Level:595  |Health:356999  |Endurance:15529  |Base Attack:354233  | xp:18207.
Level:596  |Health:358195  |Endurance:15555  |Base Attack:355425  | xp:18237.
Level:597  |Health:359393  |Endurance:15581  |Base Attack:356618  | xp:18268.
Level:598  |Health:360593  |Endurance:15607  |Base Attack:357813  | xp:18298.
Level:599  |Health:361795  |Endurance:15633  |Base Attack:359011  | xp:18329.
Level:600  |Health:362999  |Endurance:15660  |Base Attack:360210  | xp:18360.
Level:601  |Health:364205  |Endurance:15686  |Base Attack:361411  | xp:18390.
Level:602  |Health:365413  |Endurance:15712  |Base Attack:362615  | xp:18421.
Level:603  |Health:366623  |Endurance:15738  |Base Attack:363820  | xp:18451.
Level:604  |Health:367835  |Endurance:15764  |Base Attack:365027  | xp:18482.
Level:605  |Health:369049  |Endurance:15790  |Base Attack:366237  | xp:18513.
Level:606  |Health:370265  |Endurance:15816  |Base Attack:367448  | xp:18543.
Level:607  |Health:371483  |Endurance:15842  |Base Attack:368661  | xp:18574.
Level:608  |Health:372703  |Endurance:15868  |Base Attack:369877  | xp:18604.
Level:609  |Health:373925  |Endurance:15894  |Base Attack:371094  | xp:18635.
Level:610  |Health:375149  |Endurance:15921  |Base Attack:372314  | xp:18666.
Level:611  |Health:376375  |Endurance:15947  |Base Attack:373535  | xp:18696.
Level:612  |Health:377603  |Endurance:15973  |Base Attack:374758  | xp:18727.
Level:613  |Health:378833  |Endurance:15999  |Base Attack:375984  | xp:18757.
Level:614  |Health:380065  |Endurance:16025  |Base Attack:377211  | xp:18788.
Level:615  |Health:381299  |Endurance:16051  |Base Attack:378440  | xp:18819.
Level:616  |Health:382535  |Endurance:16077  |Base Attack:379672  | xp:18849.
Level:617  |Health:383773  |Endurance:16103  |Base Attack:380905  | xp:18880.
Level:618  |Health:385013  |Endurance:16129  |Base Attack:382140  | xp:18910.
Level:619  |Health:386255  |Endurance:16155  |Base Attack:383378  | xp:18941.
Level:620  |Health:387499  |Endurance:16182  |Base Attack:384617  | xp:18972.
Level:621  |Health:388745  |Endurance:16208  |Base Attack:385858  | xp:19002.
Level:622  |Health:389993  |Endurance:16234  |Base Attack:387102  | xp:19033.
Level:623  |Health:391243  |Endurance:16260  |Base Attack:388347  | xp:19063.
Level:624  |Health:392495  |Endurance:16286  |Base Attack:389594  | xp:19094.
Level:625  |Health:393749  |Endurance:16312  |Base Attack:390844  | xp:19125.
Level:626  |Health:395005  |Endurance:16338  |Base Attack:392095  | xp:19155.
Level:627  |Health:396263  |Endurance:16364  |Base Attack:393348  | xp:19186.
Level:628  |Health:397523  |Endurance:16390  |Base Attack:394604  | xp:19216.
Level:629  |Health:398785  |Endurance:16416  |Base Attack:395861  | xp:19247.
Level:630  |Health:400049  |Endurance:16443  |Base Attack:397121  | xp:19278.
Level:631  |Health:401315  |Endurance:16469  |Base Attack:398382  | xp:19308.
Level:632  |Health:402583  |Endurance:16495  |Base Attack:399645  | xp:19339.
Level:633  |Health:403853  |Endurance:16521  |Base Attack:400911  | xp:19369.
Level:634  |Health:405125  |Endurance:16547  |Base Attack:402178  | xp:19400.
Level:635  |Health:406399  |Endurance:16573  |Base Attack:403447  | xp:19431.
Level:636  |Health:407675  |Endurance:16599  |Base Attack:404719  | xp:19461.
Level:637  |Health:408953  |Endurance:16625  |Base Attack:405992  | xp:19492.
Level:638  |Health:410233  |Endurance:16651  |Base Attack:407267  | xp:19522.
Level:639  |Health:411515  |Endurance:16677  |Base Attack:408545  | xp:19553.
Level:640  |Health:412799  |Endurance:16704  |Base Attack:409824  | xp:19584.
Level:641  |Health:414085  |Endurance:16730  |Base Attack:411105  | xp:19614.
Level:642  |Health:415373  |Endurance:16756  |Base Attack:412389  | xp:19645.
Level:643  |Health:416663  |Endurance:16782  |Base Attack:413674  | xp:19675.
Level:644  |Health:417955  |Endurance:16808  |Base Attack:414961  | xp:19706.
Level:645  |Health:419249  |Endurance:16834  |Base Attack:416251  | xp:19737.
Level:646  |Health:420545  |Endurance:16860  |Base Attack:417542  | xp:19767.
Level:647  |Health:421843  |Endurance:16886  |Base Attack:418835  | xp:19798.
Level:648  |Health:423143  |Endurance:16912  |Base Attack:420131  | xp:19828.
Level:649  |Health:424445  |Endurance:16938  |Base Attack:421428  | xp:19859.
Level:650  |Health:425749  |Endurance:16965  |Base Attack:422728  | xp:19890.
Level:651  |Health:427055  |Endurance:16991  |Base Attack:424029  | xp:19920.
Level:652  |Health:428363  |Endurance:17017  |Base Attack:425332  | xp:19951.
Level:653  |Health:429673  |Endurance:17043  |Base Attack:426638  | xp:19981.
Level:654  |Health:430985  |Endurance:17069  |Base Attack:427945  | xp:20012.
Level:655  |Health:432299  |Endurance:17095  |Base Attack:429254  | xp:20043.
Level:656  |Health:433615  |Endurance:17121  |Base Attack:430566  | xp:20073.
Level:657  |Health:434933  |Endurance:17147  |Base Attack:431879  | xp:20104.
Level:658  |Health:436253  |Endurance:17173  |Base Attack:433194  | xp:20134.
Level:659  |Health:437575  |Endurance:17199  |Base Attack:434512  | xp:20165.
Level:660  |Health:438899  |Endurance:17226  |Base Attack:435831  | xp:20196.
Level:661  |Health:440225  |Endurance:17252  |Base Attack:437152  | xp:20226.
Level:662  |Health:441553  |Endurance:17278  |Base Attack:438476  | xp:20257.
Level:663  |Health:442883  |Endurance:17304  |Base Attack:439801  | xp:20287.
Level:664  |Health:444215  |Endurance:17330  |Base Attack:441128  | xp:20318.
Level:665  |Health:445549  |Endurance:17356  |Base Attack:442458  | xp:20349.
Level:666  |Health:446885  |Endurance:17382  |Base Attack:443789  | xp:20379.
Level:667  |Health:448223  |Endurance:17408  |Base Attack:445122  | xp:20410.
Level:668  |Health:449563  |Endurance:17434  |Base Attack:446458  | xp:20440.
Level:669  |Health:450905  |Endurance:17460  |Base Attack:447795  | xp:20471.
Level:670  |Health:452249  |Endurance:17487  |Base Attack:449135  | xp:20502.
Level:671  |Health:453595  |Endurance:17513  |Base Attack:450476  | xp:20532.
Level:672  |Health:454943  |Endurance:17539  |Base Attack:451819  | xp:20563.
Level:673  |Health:456293  |Endurance:17565  |Base Attack:453165  | xp:20593.
Level:674  |Health:457645  |Endurance:17591  |Base Attack:454512  | xp:20624.
Level:675  |Health:458999  |Endurance:17617  |Base Attack:455861  | xp:20655.
Level:676  |Health:460355  |Endurance:17643  |Base Attack:457213  | xp:20685.
Level:677  |Health:461713  |Endurance:17669  |Base Attack:458566  | xp:20716.
Level:678  |Health:463073  |Endurance:17695  |Base Attack:459921  | xp:20746.
Level:679  |Health:464435  |Endurance:17721  |Base Attack:461279  | xp:20777.
Level:680  |Health:465799  |Endurance:17748  |Base Attack:462638  | xp:20808.
Level:681  |Health:467165  |Endurance:17774  |Base Attack:463999  | xp:20838.
Level:682  |Health:468533  |Endurance:17800  |Base Attack:465363  | xp:20869.
Level:683  |Health:469903  |Endurance:17826  |Base Attack:466728  | xp:20899.
Level:684  |Health:471275  |Endurance:17852  |Base Attack:468095  | xp:20930.
Level:685  |Health:472649  |Endurance:17878  |Base Attack:469465  | xp:20961.
Level:686  |Health:474025  |Endurance:17904  |Base Attack:470836  | xp:20991.
Level:687  |Health:475403  |Endurance:17930  |Base Attack:472209  | xp:21022.
Level:688  |Health:476783  |Endurance:17956  |Base Attack:473585  | xp:21052.
Level:689  |Health:478165  |Endurance:17982  |Base Attack:474962  | xp:21083.
Level:690  |Health:479549  |Endurance:18009  |Base Attack:476342  | xp:21114.
Level:691  |Health:480935  |Endurance:18035  |Base Attack:477723  | xp:21144.
Level:692  |Health:482323  |Endurance:18061  |Base Attack:479106  | xp:21175.
Level:693  |Health:483713  |Endurance:18087  |Base Attack:480492  | xp:21205.
Level:694  |Health:485105  |Endurance:18113  |Base Attack:481879  | xp:21236.
Level:695  |Health:486499  |Endurance:18139  |Base Attack:483268  | xp:21267.
Level:696  |Health:487895  |Endurance:18165  |Base Attack:484660  | xp:21297.
Level:697  |Health:489293  |Endurance:18191  |Base Attack:486053  | xp:21328.
Level:698  |Health:490693  |Endurance:18217  |Base Attack:487448  | xp:21358.
Level:699  |Health:492095  |Endurance:18243  |Base Attack:488846  | xp:21389.
Level:700  |Health:493499  |Endurance:18270  |Base Attack:490245  | xp:21420.
Level:701  |Health:494905  |Endurance:18296  |Base Attack:491646  | xp:21450.
Level:702  |Health:496313  |Endurance:18322  |Base Attack:493050  | xp:21481.
Level:703  |Health:497723  |Endurance:18348  |Base Attack:494455  | xp:21511.
Level:704  |Health:499135  |Endurance:18374  |Base Attack:495862  | xp:21542.
Level:705  |Health:500549  |Endurance:18400  |Base Attack:497272  | xp:21573.
Level:706  |Health:501965  |Endurance:18426  |Base Attack:498683  | xp:21603.
Level:707  |Health:503383  |Endurance:18452  |Base Attack:500096  | xp:21634.
Level:708  |Health:504803  |Endurance:18478  |Base Attack:501512  | xp:21664.
Level:709  |Health:506225  |Endurance:18504  |Base Attack:502929  | xp:21695.
Level:710  |Health:507649  |Endurance:18531  |Base Attack:504349  | xp:21726.
Level:711  |Health:509075  |Endurance:18557  |Base Attack:505770  | xp:21756.
Level:712  |Health:510503  |Endurance:18583  |Base Attack:507193  | xp:21787.
Level:713  |Health:511933  |Endurance:18609  |Base Attack:508619  | xp:21817.
Level:714  |Health:513365  |Endurance:18635  |Base Attack:510046  | xp:21848.
Level:715  |Health:514799  |Endurance:18661  |Base Attack:511475  | xp:21879.
Level:716  |Health:516235  |Endurance:18687  |Base Attack:512907  | xp:21909.
Level:717  |Health:517673  |Endurance:18713  |Base Attack:514340  | xp:21940.
Level:718  |Health:519113  |Endurance:18739  |Base Attack:515775  | xp:21970.
